,"p3401","p3407","p3408","p3409","p3410","p3411","p3412","p3413","p3414","p3415","p3416","p3417","p3418","p3419","p3420","p3421","p3422","p3501","p3502","p3503","p3504","p3520","p3521","p3522","p3523","p3524","p3526","p3527","p3528","p3529","p3530","p3531","p3532"
"YEARQ","Palatine/Barrington","Melrose Park/Maywood","Oak Park/Cicero","LaGrange/Burbank","Orland Park/Lemont","Oak Lawn/Blue Island","Oak Forest/Country Club Hills","Calumet City/Harvey","Chicago Heights/Park Forest","Arlington Heights/Wheeling","Winnetka/Northbrook","Hoffman Estates/Streamwood","Schaumburg","Mount Prospect/Elk Grove Village","Park Ridge/Des Plaines","Evanston/Skokie","Elmwood Park/Franklin Park","Chicago--Uptown/Rogers Park","Chicago--Lake View/Lincoln Park","Chicago--Lincoln Square/North Center","Chicago--Irving Park/Albany Park","Chicago--Portage Park/Jefferson Park","Chicago--Austin/Belmont Cragin","Chicago--Logan Square/Avondale","Chicago--Humboldt Park/Garfield Park","Chicago--West Town/Near West Side","Chicago--Bridgeport/Brighton Park","Chicago--Gage Park/West Lawn","Chicago--Englewood/Greater Grand Crossing","Chicago--Bronzeville/Hyde Park","Chicago--Beverly/Morgan Park","Chicago--Auburn Gresham/Chatham","Chicago--South Chicago/West Pullman"
"1997Q1",88.46,90.6,82.85,84.73,92.38,92.79,93.47,91.8,90.42,85.76,84.21,90.73,88.24,89.96,85.54,82.86,85.8,67.51,73.29,72.74,78.28,78.95,77.57,70.58,82.15,70.65,79.7,88.14,85.78,61.42,81.29,80.22,84.17
"1997Q2",88.14,90.04,85.84,87.83,91.99,92.87,94.74,93.22,94.19,89.41,84.81,91.09,88.77,90.36,87.48,85.51,89.66,68.24,72.29,70.49,76.33,83.51,82.39,72.14,86.78,70.22,82.34,89.82,85.99,72.52,85.59,84.35,90.44
"1997Q3",88.67,90.25,86.82,89.64,93.78,93.67,95.51,93.36,93.95,90.15,86.3,90.91,88.96,90.34,87.61,86.07,90.46,72.15,74.29,73.42,78.29,84.36,85.09,73.7,92.87,69.67,86.16,90.22,86,76.93,87.85,86.57,90.63
"1997Q4",88.38,91.26,86.13,90.78,94.16,94.09,95.48,93.53,94.22,90.74,86.82,91.08,88.7,90.7,87.53,86.05,90.53,73.18,75.04,74.42,78.86,84.47,85.03,72.89,93.5,68.52,88.4,90.14,87.36,78.07,89.31,87.63,89.89
"1998Q1",88.83,90.7,86.88,91.33,94.45,94.39,95.98,93.7,94.93,91.71,87.91,91.26,88.9,91.1,88.32,86.57,90.91,74.94,76.97,77.22,79.58,85.57,86.88,74.19,95.9,69.16,91.26,90.61,89.45,85.36,91.14,89.52,90.65
"1998Q2",89.65,91.66,86.7,91.91,95.46,95.02,96.34,94.08,94.4,91.38,91.12,92.04,89.56,91.91,89.43,88.21,91.39,77.65,82.61,81.09,81.84,86.49,87.54,78.04,98.35,74.41,93.72,91.22,90.3,84.24,92.05,90.79,89.66
"1998Q3",91.34,92.76,87.35,93.64,95.48,95.91,96.2,94.98,96.65,92.78,93.39,92.85,90.85,93.07,91.67,89.69,91.82,80.42,84.67,84.35,83.51,87.95,87.61,81.08,97.42,79.53,93.55,92.38,93.24,87.48,93.01,90.9,92.47
"1998Q4",93.24,92.5,88.77,95.15,97.09,97.15,97.12,95.59,97.42,92.45,95.46,93.89,91.46,93.34,93.18,91.63,93.16,82.28,88.03,84.49,86.28,89.83,88.83,86.94,97.39,87.23,92.15,93.88,94.83,92.4,94.09,90.71,94.95
"1999Q1",93.75,93.99,90.15,95.96,97.69,97.99,95.65,96.32,98.29,92.89,96.18,94.9,92.62,93.55,94.05,92.71,94.16,82.79,89.29,85.9,87.05,91.35,89.86,89.69,100.32,91.54,94.05,94.25,93.98,91.21,94.81,91.53,97.07
