,"p3401","p3407","p3408","p3409","p3410","p3411","p3412","p3413","p3414","p3415","p3416","p3417","p3418","p3419","p3420","p3421","p3422","p3501","p3502","p3503","p3504","p3520","p3521","p3522","p3523","p3524","p3526","p3527","p3528","p3529","p3530","p3531","p3532"
"YEARQ","Palatine/Barrington","Melrose Park/Maywood","Oak Park/Cicero","LaGrange/Burbank","Orland Park/Lemont","Oak Lawn/Blue Island","Oak Forest/Country Club Hills","Calumet City/Harvey","Chicago Heights/Park Forest","Arlington Heights/Wheeling","Winnetka/Northbrook","Hoffman Estates/Streamwood","Schaumburg","Mount Prospect/Elk Grove Village","Park Ridge/Des Plaines","Evanston/Skokie","Elmwood Park/Franklin Park","Chicago--Uptown/Rogers Park","Chicago--Lake View/Lincoln Park","Chicago--Lincoln Square/North Center","Chicago--Irving Park/Albany Park","Chicago--Portage Park/Jefferson Park","Chicago--Austin/Belmont Cragin","Chicago--Logan Square/Avondale","Chicago--Humboldt Park/Garfield Park","Chicago--West Town/Near West Side","Chicago--Bridgeport/Brighton Park","Chicago--Gage Park/West Lawn","Chicago--Englewood/Greater Grand Crossing","Chicago--Bronzeville/Hyde Park","Chicago--Beverly/Morgan Park","Chicago--Auburn Gresham/Chatham","Chicago--South Chicago/West Pullman"
"1997Q1",88.47,90.59,82.85,84.72,92.38,92.79,93.48,91.79,90.42,85.76,84.23,90.75,88.24,89.95,85.54,82.88,85.81,67.46,73.3,72.7,78.26,78.95,77.58,70.54,82.15,70.61,79.67,88.12,85.75,61.37,81.27,80.2,84.16
"1997Q2",88.15,90.03,85.83,87.81,92,92.86,94.74,93.21,94.19,89.4,84.81,91.11,88.76,90.36,87.48,85.52,89.67,68.19,72.27,70.48,76.32,83.49,82.39,72.11,86.78,70.19,82.3,89.8,85.98,72.42,85.59,84.34,90.42
"1997Q3",88.68,90.23,86.8,89.63,93.78,93.66,95.51,93.36,93.96,90.14,86.3,90.92,88.96,90.34,87.61,86.07,90.46,72.09,74.28,73.41,78.28,84.35,85.08,73.67,92.85,69.62,86.13,90.2,85.99,76.84,87.85,86.57,90.62
"1997Q4",88.39,91.25,86.12,90.77,94.17,94.08,95.49,93.53,94.22,90.73,86.82,91.09,88.7,90.7,87.53,86.05,90.54,73.15,75.03,74.4,78.84,84.46,85.01,72.86,93.47,68.48,88.35,90.12,87.35,77.95,89.3,87.64,89.88
"1998Q1",88.84,90.68,86.86,91.32,94.46,94.38,95.99,93.7,94.93,91.71,87.9,91.27,88.9,91.11,88.32,86.57,90.91,74.91,76.94,77.19,79.58,85.56,86.85,74.17,95.87,69.13,91.21,90.59,89.45,85.24,91.13,89.55,90.65
"1998Q2",89.66,91.65,86.67,91.9,95.47,95.01,96.34,94.08,94.4,91.38,91.11,92.06,89.57,91.92,89.42,88.21,91.4,77.65,82.59,81.06,81.84,86.49,87.52,78.03,98.29,74.33,93.66,91.2,90.29,84.13,92.04,90.83,89.66
"1998Q3",91.35,92.75,87.32,93.63,95.49,95.9,96.2,94.98,96.65,92.78,93.38,92.86,90.85,93.08,91.66,89.69,91.82,80.42,84.65,84.32,83.51,87.94,87.57,81.07,97.35,79.45,93.49,92.37,93.24,87.38,93,90.95,92.47
"1998Q4",93.24,92.49,88.74,95.14,97.1,97.14,97.12,95.58,97.42,92.44,95.44,93.91,91.45,93.35,93.17,91.63,93.18,82.28,88.02,84.48,86.29,89.82,88.78,86.93,97.32,87.11,92.12,93.87,94.81,92.3,94.09,90.77,94.99
"1999Q1",93.75,93.98,90.13,95.96,97.69,97.99,95.65,96.32,98.28,92.88,96.17,94.91,92.62,93.56,94.04,92.7,94.18,82.8,89.3,85.9,87.06,91.34,89.82,89.68,100.29,91.4,94.03,94.24,93.98,91.14,94.81,91.59,97.11
"1999Q2",96.58,95.9,93.49,98.52,97.91,100.01,96.78,96.71,98.89,95.64,97.38,96.12,94.91,95.53,95.79,94.73,95.67,88.36,89.97,90.27,91.85,93.66,92.46,93.87,98.63,90.84,95.35,95.8,96.73,94.09,95.85,94.84,99.4
"1999Q3",97.79,96.84,96.02,98.34,99.09,100.61,98.16,97.62,99.21,96.91,98.27,97.5,97.01,96.92,97.44,97.92,97.17,91.25,95.25,93.22,95.51,95.93,94.68,95.28,99.02,93.9,97.19,97.24,96.19,95.98,97.15,96.5,97.77
"1999Q4",99.16,98.95,98.72,98.64,99.39,100.11,98.63,98.77,99.16,99.32,98.89,99.26,98.88,98.29,99.17,98.51,99.06,95.56,97.29,95.92,97.95,98.5,97.92,98.01,100.71,96.66,99.35,98.64,97.43,96.77,98.53,98.76,99.82
"2000Q1",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"2000Q2",101.93,102.31,103.68,102.3,103.21,101.2,101.55,101.99,101.6,103.39,102.08,102.63,103.02,103.37,103.61,103.92,103.64,103.11,103.06,104.84,102.82,104.12,102.33,104.95,103.79,109.8,101.95,101.7,102.42,101.21,102.09,101.44,101.39
"2000Q3",105.56,105.84,107.2,104.28,105.13,102.62,103.32,103.84,103.21,106.66,106.04,105.52,105.56,107.87,107.15,107.29,108.06,106.81,104,109.41,107.19,108.9,107.83,109.5,107.75,116.7,106.01,104.89,103.83,105.26,103.63,101.71,102.6
"2000Q4",106.7,107.31,110.06,105.63,106.27,105.74,105.6,105.76,105.11,109.29,107.97,107.25,108.01,110.25,110.04,110.06,111.3,108.63,107.93,114,111.35,113.21,110.96,112.81,111.47,122.55,110.8,108.79,106.44,109.85,104.68,103.98,103.26
"2001Q1",107.95,108.51,112.27,106.06,108.33,107.49,108.02,105.91,105.02,111.23,109.48,108.74,110.19,112.1,111.82,111.9,113.52,110.65,109.87,115.44,114.13,115.54,112.36,116.53,114.68,127.46,112,110.75,108.55,109.86,106.14,105.44,104.83
"2001Q2",111.36,112.81,117.34,109.68,111.57,109.11,110.29,107.2,107.48,114.83,113.02,112.69,114.81,116.98,115.25,115.2,117.41,113.32,113.86,120.04,119.2,120.75,117.91,121.99,121.66,130.06,114.35,116.57,108.53,112.81,109.32,105.68,106.97
"2001Q3",114.9,116.07,121.37,112.18,114.11,111.15,111.93,108.72,108.71,119.25,116.19,116.52,119.67,120.66,118.93,118.86,120.68,116.42,116.59,122.78,121.1,125.08,121.27,128.64,122.86,133.1,120.2,120.86,113.25,113.94,111.51,108.7,111.65
"2001Q4",118.01,118.32,124.31,113.57,116.51,112.58,113.17,109.12,109.45,120.81,117.41,118.96,121.85,122.68,120.72,120.83,122.55,119.69,116.54,122.99,123.67,127.21,125.01,133.98,128.54,134.68,123.36,123.96,116.55,114.31,113.5,109.62,114.13
"2002Q1",119.51,119.69,127.44,114.75,118.22,112.95,113.42,110.61,111.16,122.42,118.55,121.32,123.64,124.31,122.37,123.21,125.04,123.96,116.15,124.15,125.79,129.68,128,136.7,134.35,134.21,125.82,125.37,119.84,117.98,116.34,111.02,116.66
"2002Q2",122.53,122.41,131.4,116.47,120.47,116.62,116.3,112.17,111.41,125.7,121.47,124.83,126.41,127.33,124.93,125.9,128.14,133.47,118,126.29,128.09,132.81,131.62,142.44,139.3,138.77,131.85,128.81,124.95,124.9,119.47,114.97,118.3
"2002Q3",124.6,126.44,135.57,119.46,123.97,120.45,118.09,113.89,113.67,128.2,122.48,127.36,129.36,130.9,128.57,130.54,132.27,136.02,120.25,132.39,131.4,136.41,135.41,147.73,152.52,144.15,134.43,133.89,129.51,126.92,123.3,118.01,120.61
"2002Q4",126.11,128.6,139.28,122.3,126.55,122.06,119.73,115.59,115.48,130.92,124.51,129.53,132.05,133.36,131.36,133.92,136.56,138.6,121.43,136.25,133.73,139.79,140.48,147.7,158.53,149.03,142.25,138.05,134.4,130.5,126.96,122.19,122.68
"2003Q1",128.23,132.14,142.08,124.68,128.55,125.39,121.36,117.17,117.24,132.8,126.59,131.27,134.32,135.38,133.6,135.2,137.82,141.3,124.06,140.23,135.59,141.84,143.44,151.48,163.65,154.28,146.79,142.59,135.65,133.37,128.52,125.72,124.04
"2003Q2",131.19,134.92,147,129,133.19,128.41,124.44,119.04,119.42,135.49,128.25,135.09,137.9,138.41,137.45,137.41,141.64,144.16,126.61,143.95,140.18,144.88,148.92,153.98,168.45,158.61,151.18,148.34,139.96,137.68,132.55,127.91,126.02
"2003Q3",134.78,138.45,152.59,132.53,136.56,132.11,128.85,120.52,121.72,139.46,131.58,138.52,141.22,140.2,140.46,138.76,146.18,148.74,129.14,147.02,143.09,148.35,154.35,153.65,173.22,163.83,161.26,153.7,143.91,143.03,138.65,131.48,129.97
"2003Q4",136.72,141.93,157.14,136,138.77,135.27,131.7,122.75,123.14,140.83,131.94,140.91,142.99,141.76,142.37,140.34,148.95,149.89,131.49,148.7,146.46,153.08,157.16,155.22,181.07,167.64,166.64,159.2,148.05,146.71,140.71,134.19,134.91
