"Number","Sub Market","Change Since 2000","Change Peak to Current","Change Bottom to Current","COVID-19 Pandemic Start to Current","Year-over-year change","Median Sales Price"
"p3101","Palatine/Barrington","133.9%","34.2%","92.1%","56.4%","7.5%"," $480,000 "
"p3102","Hoffman Estates/Streamwood","166.6%","51.9%","157.3%","64.2%","3.0%"," $347,250 "
"p3103","Schaumburg","192.7%","60.2%","129.5%","60.3%","5.3%"," $420,000 "
"p3104","Mount Prospect/Elk Grove Village","140.4%","31.4%","96.1%","52.1%","2.4%"," $467,000 "
"p3105","Arlington Heights/Wheeling","142.6%","34.7%","102.2%","52.8%","3.9%"," $475,000 "
"p3106","Winnetka/Northbrook","125.4%","25.9%","66.0%","42.3%","2.9%"," $975,000 "
"p3107","Evanston/Skokie","133.5%","23.9%","96.3%","46.7%","3.9%"," $535,000 "
"p3108","Park Ridge/Niles","139.2%","26.7%","109.7%","49.3%","5.2%"," $447,000 "
"p3109","Elmwood Park/Franklin Park","146.1%","25.8%","149.9%","53.5%","2.3%"," $367,000 "
"p3110","Melrose Park/Maywood","151.9%","37.5%","215.8%","63.3%","8.5%"," $295,000 "
"p3111","Oak Park/Brookfield","148.1%","28.0%","86.9%","42.4%","3.1%"," $517,000 "
"p3112","Berwyn/Cicero","176.5%","35.5%","245.6%","51.9%","2.7%"," $305,000 "
"p3113","LaGrange/Burbank","143.1%","34.2%","116.0%","54.9%","5.5%"," $366,000 "
"p3114","Oak Lawn/Blue Island","144.0%","37.2%","138.6%","61.4%","5.2%"," $287,750 "
"p3115","Orland Park/Lemont","170.8%","39.4%","94.5%","53.4%","4.4%"," $425,000 "
"p3116","Oak Forest/Tinley Park","149.3%","42.4%","133.5%","66.3%","3.0%"," $285,000 "
"p3117","Calumet City/Harvey","106.8%","27.9%","218.8%","83.3%","-1.2%"," $165,000 "
"p3118","Chicago Heights/Park Forest","125.0%","39.5%","173.3%","87.4%","3.6%"," $210,000 "
"p3151","Chicago--Albany Park/North Park","144.7%","27.8%","95.8%","41.5%","7.1%"," $489,500 "
"p3152","Chicago--Lincoln Square/North Center","192.0%","42.4%","85.6%","32.3%","2.2%"," $772,500 "
"p3153","Chicago--Uptown/Rogers Park","190.0%","50.1%","111.8%","39.6%","4.4%"," $782,500 "
"p3154","Chicago--Lake View/Lincoln Park","131.0%","32.9%","53.4%","28.2%","7.8%"," $1,528,000 "
"p3155","Chicago--Logan Square/Irving Park","277.8%","72.0%","161.4%","48.5%","9.6%"," $765,000 "
"p3156","Chicago--Portage Park/Jefferson Park","155.2%","27.3%","131.0%","43.0%","3.2%"," $405,000 "
"p3157","Chicago--Humboldt Park/Belmont Cragin","203.2%","26.6%","215.3%","55.6%","3.0%"," $345,000 "
"p3158","Chicago--Austin/North Lawndale","208.4%","29.4%","239.5%","73.6%","1.7%"," $260,000 "
"p3159","Chicago--West Town/Near West Side","246.7%","50.6%","101.6%","22.7%","0.9%"," $873,750 "
"p3161","Chicago--Bronzeville/Hyde Park","218.4%","27.2%","160.0%","59.3%","10.4%"," $510,000 "
"p3162","Chicago--Bridgeport/Lower West Side","285.9%","34.4%","190.8%","48.7%","6.9%"," $378,000 "
"p3163","Chicago--South Lawndale/Brighton Park","227.5%","33.7%","283.6%","63.7%","11.0%"," $265,000 "
"p3164","Chicago--Archer Heights/West Lawn","181.9%","36.0%","149.4%","49.2%","4.1%"," $300,000 "
"p3165","Chicago--Englewood/Greater Grand Crossing","215.2%","27.3%","311.1%","114.3%","9.4%"," $165,000 "
"p3166","Chicago--Auburn Gresham/Morgan Park","164.3%","33.8%","137.9%","59.6%","1.0%"," $250,000 "
"p3167","Chicago--Chatham/West Pullman","134.2%","21.6%","207.7%","82.1%","2.3%"," $160,000 "
"p3168","Chicago--South Chicago/Hegewisch","148.2%","19.0%","186.4%","77.1%","3.6%"," $167,000 "
