,p3401,p3407,p3408,p3409,p3410,p3411,p3412,p3413,p3414,p3415,p3416,p3417,p3418,p3419,p3420,p3421,p3422,p3501,p3502,p3503,p3504,p3520,p3521,p3522,p3523,p3524,p3526,p3527,p3528,p3529,p3530,p3531,p3532
,Palatine/Barrington,Melrose Park/Maywood,Oak Park/Cicero,LaGrange/Burbank,Orland Park/Lemont,Oak Lawn/Blue Island,Oak Forest/Country Club Hills,Calumet City/Harvey,Chicago Heights/Park Forest,Arlington Heights/Wheeling,Winnetka/Northbrook,Hoffman Estates/Streamwood,Schaumburg,Mount Prospect/Elk Grove Village,Park Ridge/Des Plaines,Evanston/Skokie,Elmwood Park/Franklin Park,Chicago--Uptown/Rogers Park,Chicago--Lake View/Lincoln Park,Chicago--Lincoln Square/North Center,Chicago--Irving Park/Albany Park,Chicago--Portage Park/Jefferson Park,Chicago--Austin/Belmont Cragin,Chicago--Logan Square/Avondale,Chicago--Humboldt Park/Garfield Park,Chicago--West Town/Near West Side,Chicago--Bridgeport/Brighton Park,Chicago--Gage Park/West Lawn,Chicago--Englewood/Greater Grand Crossing,Chicago--Bronzeville/Hyde Park,Chicago--Beverly/Morgan Park,Chicago--Auburn Gresham/Chatham,Chicago--South Chicago/West Pullman
1997Q1,88.49,90.57,82.82,84.73,92.39,92.82,93.47,91.66,90.37,85.76,84.18,90.77,88.25,89.95,85.53,82.90,85.80,67.25,73.23,72.57,78.17,78.94,77.59,70.46,81.80,70.42,79.56,88.11,85.63,61.38,81.20,80.16,84.00
1997Q2,88.15,89.97,85.77,87.83,92.01,92.86,94.76,93.11,94.15,89.39,84.79,91.15,88.74,90.38,87.47,85.51,89.66,68.00,72.17,70.41,76.29,83.42,82.33,72.07,86.42,70.03,82.18,89.73,85.95,72.18,85.58,84.26,90.36
1997Q3,88.69,90.17,86.74,89.64,93.79,93.65,95.53,93.29,93.94,90.14,86.28,90.95,88.94,90.36,87.59,86.06,90.44,71.85,74.20,73.31,78.23,84.28,85.00,73.61,92.49,69.53,85.89,90.14,85.91,76.63,87.84,86.53,90.59
1997Q4,88.41,91.20,86.08,90.80,94.17,94.06,95.50,93.49,94.21,90.73,86.78,91.12,88.69,90.71,87.50,86.04,90.51,73.02,74.96,74.27,78.78,84.39,84.91,72.72,93.17,68.41,88.07,90.05,87.28,77.78,89.28,87.56,89.82
1998Q1,88.87,90.63,86.80,91.36,94.47,94.37,95.99,93.68,94.94,91.69,87.84,91.31,88.88,91.13,88.28,86.55,90.89,74.81,76.86,77.05,79.56,85.47,86.71,74.03,95.71,69.07,90.94,90.51,89.37,84.99,91.13,89.51,90.65
1998Q2,89.70,91.61,86.58,91.95,95.48,94.98,96.32,94.10,94.42,91.36,91.04,92.10,89.56,91.92,89.38,88.19,91.38,77.64,82.54,80.85,81.86,86.42,87.40,77.87,98.11,74.21,93.29,91.14,90.24,83.98,92.02,90.88,89.64
1998Q3,91.38,92.74,87.21,93.70,95.50,95.87,96.16,95.03,96.64,92.76,93.30,92.92,90.84,93.09,91.61,89.66,91.79,80.47,84.59,84.10,83.56,87.87,87.45,80.94,97.09,79.21,93.26,92.31,93.19,87.18,92.98,90.99,92.54
1998Q4,93.26,92.47,88.64,95.21,97.11,97.13,97.09,95.62,97.43,92.43,95.36,93.96,91.44,93.37,93.12,91.60,93.19,82.25,87.98,84.36,86.36,89.76,88.67,86.85,97.14,86.80,92.03,93.81,94.65,92.13,94.07,90.97,95.10
1999Q1,93.76,93.96,90.06,96.02,97.69,97.97,95.63,96.36,98.26,92.88,96.09,94.97,92.61,93.57,93.99,92.66,94.18,82.79,89.24,85.80,87.13,91.28,89.76,89.56,100.04,91.08,93.99,94.20,93.88,90.97,94.77,91.77,97.21
