,"p3401","p3407","p3408","p3409","p3410","p3411","p3412","p3413","p3414","p3415","p3416","p3417","p3418","p3419","p3420","p3421","p3422","p3501","p3502","p3503","p3504","p3520","p3521","p3522","p3523","p3524","p3526","p3527","p3528","p3529","p3530","p3531","p3532"
,"Palatine/Barrington","Melrose Park/Maywood","Oak Park/Cicero","LaGrange/Burbank","Orland Park/Lemont","Oak Lawn/Blue Island","Oak Forest/Country Club Hills","Calumet City/Harvey","Chicago Heights/Park Forest","Arlington Heights/Wheeling","Winnetka/Northbrook","Hoffman Estates/Streamwood","Schaumburg","Mount Prospect/Elk Grove Village","Park Ridge/Des Plaines","Evanston/Skokie","Elmwood Park/Franklin Park","Chicago--Uptown/Rogers Park","Chicago--Lake View/Lincoln Park","Chicago--Lincoln Square/North Center","Chicago--Irving Park/Albany Park","Chicago--Portage Park/Jefferson Park","Chicago--Austin/Belmont Cragin","Chicago--Logan Square/Avondale","Chicago--Humboldt Park/Garfield Park","Chicago--West Town/Near West Side","Chicago--Bridgeport/Brighton Park","Chicago--Gage Park/West Lawn","Chicago--Englewood/Greater Grand Crossing","Chicago--Bronzeville/Hyde Park","Chicago--Beverly/Morgan Park","Chicago--Auburn Gresham/Chatham","Chicago--South Chicago/West Pullman"
"1997Q1",88.49,90.58,82.81,84.75,92.36,92.82,93.42,91.53,90.34,85.77,84.15,90.8,88.23,89.93,85.52,82.93,85.79,67.14,73.28,72.5,78.08,78.96,77.6,70.46,81.41,70.5,79.51,88.08,85.51,61.44,81.12,80.11,83.83
"1997Q2",88.15,89.94,85.73,87.85,91.99,92.86,94.77,93.01,94.12,89.38,84.76,91.17,88.74,90.38,87.47,85.52,89.62,67.95,72.2,70.38,76.23,83.38,82.32,72.02,86.17,70.06,82.15,89.67,85.95,72.04,85.59,84.28,90.26
"1997Q3",88.7,90.13,86.71,89.65,93.78,93.66,95.55,93.22,93.95,90.13,86.25,90.97,88.93,90.36,87.58,86.06,90.4,71.73,74.2,73.26,78.17,84.24,84.97,73.52,92.26,69.59,85.8,90.09,85.85,76.53,87.82,86.55,90.53
"1997Q4",88.41,91.17,86.06,90.82,94.16,94.06,95.52,93.43,94.21,90.72,86.75,91.14,88.68,90.7,87.49,86.04,90.48,72.94,74.98,74.18,78.71,84.34,84.9,72.59,92.95,68.47,87.98,90.01,87.22,77.66,89.25,87.56,89.73
"1998Q1",88.87,90.6,86.77,91.39,94.47,94.37,96,93.63,94.96,91.66,87.81,91.33,88.87,91.13,88.27,86.54,90.85,74.73,76.9,76.94,79.53,85.41,86.69,73.87,95.6,69.08,90.88,90.46,89.29,84.82,91.13,89.54,90.6
"1998Q2",89.72,91.58,86.55,92.01,95.49,94.97,96.31,94.06,94.44,91.34,91,92.13,89.55,91.92,89.36,88.19,91.35,77.55,82.56,80.72,81.86,86.36,87.4,77.71,97.96,74.19,93.21,91.11,90.16,83.89,92,90.91,89.58
"1998Q3",91.38,92.73,87.18,93.77,95.5,95.85,96.14,94.99,96.65,92.74,93.26,92.95,90.84,93.1,91.59,89.65,91.75,80.42,84.66,83.96,83.58,87.82,87.45,80.79,96.85,79.15,93.29,92.27,93.1,87.02,92.99,91.01,92.52
"1998Q4",93.26,92.45,88.61,95.28,97.11,97.11,97.07,95.59,97.43,92.42,95.33,93.99,91.44,93.4,93.11,91.58,93.17,82.18,88.06,84.28,86.4,89.72,88.66,86.75,97.02,86.68,92.14,93.77,94.55,92.04,94.12,91.04,95.14
"1999Q1",93.76,93.94,90.04,96.09,97.69,97.94,95.64,96.35,98.27,92.86,96.05,95,92.61,93.6,93.98,92.64,94.17,82.74,89.28,85.72,87.17,91.23,89.77,89.47,99.86,90.98,94.03,94.16,93.82,90.84,94.77,91.87,97.2
"1999Q2",96.57,95.85,93.53,98.61,97.92,100,96.8,96.73,98.87,95.64,97.28,96.17,94.91,95.57,95.74,94.69,95.66,88.34,89.95,90.15,91.84,93.53,92.4,93.69,98.52,90.44,95.36,95.74,96.61,94.05,95.82,94.94,99.63
