,"p3401","p3407","p3408","p3409","p3410","p3411","p3412","p3413","p3414","p3415","p3416","p3417","p3418","p3419","p3420","p3421","p3422","p3501","p3502","p3503","p3504","p3520","p3521","p3522","p3523","p3524","p3526","p3527","p3528","p3529","p3530","p3531","p3532"
,"Palatine/Barrington","Melrose Park/Maywood","Oak Park/Cicero","LaGrange/Burbank","Orland Park/Lemont","Oak Lawn/Blue Island","Oak Forest/Country Club Hills","Calumet City/Harvey","Chicago Heights/Park Forest","Arlington Heights/Wheeling","Winnetka/Northbrook","Hoffman Estates/Streamwood","Schaumburg","Mount Prospect/Elk Grove Village","Park Ridge/Des Plaines","Evanston/Skokie","Elmwood Park/Franklin Park","Chicago--Uptown/Rogers Park","Chicago--Lake View/Lincoln Park","Chicago--Lincoln Square/North Center","Chicago--Irving Park/Albany Park","Chicago--Portage Park/Jefferson Park","Chicago--Austin/Belmont Cragin","Chicago--Logan Square/Avondale","Chicago--Humboldt Park/Garfield Park","Chicago--West Town/Near West Side","Chicago--Bridgeport/Brighton Park","Chicago--Gage Park/West Lawn","Chicago--Englewood/Greater Grand Crossing","Chicago--Bronzeville/Hyde Park","Chicago--Beverly/Morgan Park","Chicago--Auburn Gresham/Chatham","Chicago--South Chicago/West Pullman"
"1997Q1",88.49,90.58,82.82,84.74,92.38,92.83,93.44,91.61,90.37,85.76,84.16,90.78,88.24,89.94,85.53,82.91,85.8,67.14,73.26,72.52,78.13,78.95,77.59,70.44,81.57,70.45,79.52,88.1,85.55,61.32,81.16,80.12,83.91
"1997Q2",88.15,89.96,85.75,87.84,92,92.86,94.76,93.07,94.14,89.39,84.77,91.16,88.74,90.38,87.47,85.51,89.64,67.94,72.18,70.39,76.27,83.4,82.31,72.04,86.29,70.06,82.16,89.71,85.95,72.06,85.58,84.26,90.3
"1997Q3",88.69,90.15,86.73,89.65,93.78,93.65,95.54,93.27,93.95,90.14,86.26,90.96,88.94,90.36,87.58,86.06,90.42,71.76,74.19,73.28,78.2,84.26,84.97,73.56,92.35,69.57,85.84,90.12,85.88,76.53,87.84,86.53,90.55
"1997Q4",88.41,91.18,86.07,90.81,94.17,94.06,95.51,93.47,94.21,90.72,86.76,91.13,88.69,90.71,87.5,86.04,90.5,72.96,74.97,74.22,78.75,84.36,84.89,72.65,93.03,68.45,88.03,90.03,87.26,77.69,89.27,87.55,89.77
"1998Q1",88.87,90.61,86.78,91.37,94.47,94.37,96,93.67,94.95,91.68,87.82,91.32,88.87,91.13,88.28,86.55,90.87,74.76,76.87,76.99,79.56,85.44,86.68,73.95,95.65,69.08,90.92,90.49,89.34,84.89,91.14,89.52,90.62
"1998Q2",89.71,91.6,86.56,91.98,95.48,94.97,96.31,94.09,94.43,91.35,91.02,92.12,89.56,91.92,89.37,88.19,91.37,77.58,82.54,80.79,81.87,86.39,87.39,77.79,98.02,74.21,93.25,91.13,90.21,83.91,92.02,90.89,89.61
"1998Q3",91.38,92.74,87.19,93.74,95.5,95.86,96.15,95.02,96.65,92.75,93.27,92.94,90.84,93.09,91.6,89.65,91.78,80.44,84.62,84.03,83.59,87.85,87.44,80.86,96.96,79.2,93.27,92.29,93.15,87.11,92.99,91,92.53
"1998Q4",93.26,92.46,88.62,95.25,97.11,97.12,97.08,95.62,97.43,92.43,95.34,93.97,91.44,93.38,93.11,91.58,93.18,82.2,88.01,84.32,86.39,89.74,88.65,86.8,97.07,86.75,92.09,93.79,94.61,92.07,94.1,91.01,95.11
"1999Q1",93.76,93.95,90.04,96.06,97.69,97.95,95.64,96.37,98.27,92.87,96.07,94.98,92.61,93.59,93.98,92.65,94.18,82.77,89.24,85.75,87.16,91.26,89.75,89.51,99.91,91.06,94.03,94.18,93.86,90.91,94.77,91.82,97.2
"1999Q2",96.57,95.86,93.52,98.59,97.92,100,96.8,96.74,98.87,95.64,97.3,96.16,94.91,95.56,95.75,94.7,95.66,88.37,89.94,90.18,91.85,93.56,92.39,93.71,98.48,90.52,95.38,95.75,96.62,94.07,95.82,94.93,99.59
"1999Q3",97.79,96.81,96.04,98.38,99.09,100.6,98.19,97.64,99.21,96.88,98.23,97.51,97.01,96.95,97.41,97.9,97.19,91.27,95.21,93.16,95.5,95.86,94.64,95.17,99.01,93.74,97.21,97.21,96.17,96.05,97.13,96.58,97.84
"1999Q4",99.15,98.93,98.76,98.66,99.38,100.11,98.64,98.79,99.16,99.29,98.87,99.27,98.89,98.3,99.15,98.49,99.06,95.59,97.26,95.88,97.95,98.45,97.87,97.89,100.69,96.54,99.35,98.65,97.41,96.61,98.53,98.8,99.91
"2000Q1",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"2000Q2",101.91,102.33,103.64,102.31,103.19,101.19,101.56,101.98,101.59,103.39,102.07,102.63,103.02,103.38,103.6,103.94,103.67,103.03,103.04,104.88,102.9,104.15,102.34,104.97,103.95,109.93,102,101.72,102.4,101.07,102.11,101.46,101.24
"2000Q3",105.52,105.86,107.19,104.29,105.11,102.63,103.33,103.84,103.19,106.66,106.03,105.56,105.58,107.85,107.16,107.31,108.08,106.84,103.97,109.5,107.27,108.92,107.85,109.64,107.94,116.71,106.06,104.92,103.67,105.03,103.63,101.65,102.47
"2000Q4",106.67,107.36,110.08,105.65,106.26,105.74,105.61,105.69,105.09,109.29,107.95,107.29,108.01,110.22,110.05,110.06,111.33,108.62,107.87,114.1,111.47,113.22,111.07,112.88,111.61,122.65,110.84,108.78,106.25,109.61,104.65,103.84,103.13
"2001Q1",107.91,108.56,112.32,106.06,108.32,107.48,108.03,105.87,105,111.22,109.46,108.78,110.2,112.09,111.83,111.89,113.58,110.67,109.83,115.56,114.25,115.53,112.46,116.54,114.64,127.49,112.04,110.76,108.26,109.36,106.12,105.36,104.68
"2001Q2",111.31,112.87,117.43,109.7,111.57,109.12,110.27,107.22,107.49,114.84,113.01,112.74,114.81,116.94,115.26,115.15,117.47,113.22,113.86,120.05,119.35,120.74,118.05,121.98,121.35,130,114.29,116.57,108.15,112.32,109.27,105.64,106.96
"2001Q3",114.84,116.13,121.47,112.2,114.12,111.14,111.91,108.76,108.71,119.26,116.15,116.56,119.65,120.61,118.96,118.85,120.74,116.27,116.63,122.73,121.2,125.12,121.47,128.49,122.55,133,120.14,120.84,112.93,113.57,111.51,108.71,111.64
"2001Q4",117.94,118.38,124.45,113.61,116.5,112.56,113.15,109.23,109.44,120.82,117.39,119.02,121.85,122.64,120.74,120.83,122.64,119.62,116.6,122.95,123.78,127.28,125.18,133.9,128.11,134.4,123.24,123.93,116.27,114.23,113.53,109.74,114.13
"2002Q1",119.45,119.77,127.61,114.8,118.22,112.93,113.4,110.71,111.18,122.42,118.5,121.37,123.65,124.24,122.38,123.23,125.15,123.92,116.13,124.11,125.88,129.73,128.18,136.63,134.03,133.95,125.76,125.33,119.58,117.88,116.37,111.15,116.78
"2002Q2",122.5,122.49,131.61,116.52,120.47,116.61,116.28,112.24,111.41,125.7,121.46,124.89,126.42,127.24,124.96,125.95,128.28,133.46,117.91,126.32,128.21,132.91,131.84,142.48,139.03,138.46,131.97,128.8,124.7,125.03,119.55,115.14,118.45
"2002Q3",124.57,126.53,135.81,119.53,123.98,120.45,118.08,113.95,113.67,128.2,122.48,127.4,129.37,130.82,128.61,130.55,132.47,136.21,120.15,132.45,131.64,136.54,135.64,147.82,152.36,143.8,134.64,133.89,129.35,126.99,123.43,118.33,120.79
"2002Q4",126.08,128.72,139.52,122.36,126.56,122.1,119.72,115.64,115.46,130.91,124.54,129.57,132.05,133.24,131.4,133.94,136.71,138.81,121.35,136.19,133.99,139.93,140.77,147.92,158.49,148.68,142.59,138.05,134.19,130.61,127.1,122.53,122.89
"2003Q1",128.19,132.26,142.42,124.76,128.55,125.4,121.37,117.24,117.21,132.83,126.64,131.31,134.32,135.27,133.66,135.23,137.98,141.57,124.03,140.14,135.87,142.03,143.74,151.87,163.6,153.85,147.29,142.61,135.48,133.5,128.72,126.02,124.28
"2003Q2",131.17,135.07,147.41,129.08,133.17,128.41,124.47,119.13,119.38,135.51,128.31,135.12,137.9,138.29,137.51,137.45,141.79,144.27,126.64,143.95,140.44,145.13,149.2,154.28,168.25,158.2,151.72,148.37,139.8,137.35,132.79,128.27,126.22
"2003Q3",134.75,138.59,153.02,132.61,136.52,132.14,128.89,120.6,121.66,139.48,131.62,138.54,141.22,140.07,140.52,138.84,146.36,148.62,129.19,147.16,143.38,148.58,154.72,154.16,172.8,163.51,161.65,153.75,143.75,142.6,138.9,131.76,130.17
