PumaID,Name,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,Change Since 2000,Change Peak to Current,Change Bottom to Current,COVID-19 Pandemic Start to Current,Year-over-year change,Median Sales Price
03111,Oak Park/Brookfield,-15.8,-13.9,-13.8,-13.8,-13.7,-13.5,-11.7,-10.8,-9.3,-5.6,-4.0,-1.4,0.0,4.0,7.8,9.3,11.0,16.6,20.9,23.3,26.6,30.0,35.5,38.4,40.8,44.0,47.6,50.2,52.4,56.3,60.3,62.8,66.1,72.0,76.4,81.0,81.4,84.2,86.4,87.4,90.5,92.7,93.8,91.9,90.5,84.4,78.5,76.9,72.7,67.9,64.1,61.8,61.3,61.0,59.1,54.6,51.7,44.7,40.6,38.3,34.3,32.8,34.1,36.0,38.1,41.2,44.6,46.4,49.5,55.6,58.5,60.1,62.5,63.9,64.2,67.0,66.1,68.7,74.7,74.9,76.1,76.3,75.2,75.5,77.0,79.2,78.6,78.6,78.6,76.2,76.0,75.1,74.2,73.6,74.4,76.8,81.8,89.8,97.3,100.6,105.6,113.5,115.8,116.3,119.7,120.6,124.2,126.1,131.1,132.4,137.3,140.7,140.3,147.3,148.6,148.1,148.1,28.0,86.9,42.4,3.1," $517,000"
03112,Berwyn/Cicero,-11.8,-9.7,-8.6,-10.0,-9.4,-9.0,-9.6,-8.0,-7.3,-5.8,-3.2,-1.2,0.0,2.8,6.4,9.6,11.9,16.2,19.7,22.5,25.2,29.5,33.3,37.5,40.5,45.7,51.8,56.8,60.3,64.1,68.5,72.6,75.8,81.6,85.4,90.1,93.0,97.3,102.0,103.3,104.1,103.1,99.8,94.7,88.5,74.4,60.1,44.7,31.2,16.0,7.0,4.8,2.9,3.5,1.8,-0.8,-3.2,-7.6,-10.5,-12.7,-14.7,-17.0,-18.0,-20.0,-18.4,-16.1,-12.9,-6.7,-2.7,4.1,11.2,16.3,19.6,24.7,29.1,33.6,40.5,44.0,49.6,52.1,53.6,56.7,56.2,58.5,63.1,66.9,71.8,74.3,74.7,77.2,77.4,80.3,82.0,83.1,89.1,96.3,104.1,109.0,116.4,121.2,130.7,140.8,146.1,134.7,144.8,142.7,143.3,152.7,158.6,164.3,167.4,169.1,169.7,170.5,176.4,176.5,176.5,35.5,245.6,51.9,2.7," $305,000"
03113,LaGrange/Burbank,-15.3,-12.2,-10.4,-9.3,-8.7,-8.1,-6.4,-4.9,-4.0,-1.5,-1.7,-1.4,0.0,2.3,4.3,5.6,6.0,9.7,12.2,13.6,14.8,16.5,19.5,22.3,24.7,29.0,32.5,36.0,38.3,42.3,47.6,50.4,53.2,57.0,60.9,65.8,69.5,73.7,77.3,78.5,80.6,81.2,80.7,78.0,73.5,67.5,62.0,59.3,56.4,48.0,41.2,37.9,35.6,36.3,33.9,31.4,29.8,24.6,23.1,19.5,15.6,13.6,12.6,14.4,15.7,20.3,23.1,24.4,26.8,28.0,29.8,31.2,33.9,37.6,39.5,40.1,40.6,41.5,43.7,44.2,45.6,46.1,47.6,48.7,49.3,51.2,53.3,56.1,57.4,57.5,58.4,57.4,57.0,56.7,58.3,62.2,67.7,75.0,81.5,85.6,90.9,98.2,103.2,104.4,104.4,104.1,106.6,109.9,118.5,122.1,126.6,130.4,131.2,133.9,137.3,143.1,143.1,34.2,116.0,54.9,5.5," $366,000"
03114,Oak Lawn/Blue Island,-7.3,-7.2,-6.4,-6.0,-5.7,-5.0,-4.1,-3.1,-2.2,-0.2,0.4,0.1,0.0,1.2,2.6,5.7,7.4,9.1,11.1,12.6,12.9,16.6,20.4,22.1,25.4,28.5,32.1,35.3,37.1,41.8,44.9,49.7,52.1,55.7,61.0,63.2,66.2,69.7,72.5,75.6,76.6,77.9,76.5,73.8,71.8,67.5,62.7,55.3,48.9,40.0,32.0,32.8,32.9,34.2,32.8,28.4,24.2,16.3,12.3,9.2,5.2,4.4,2.7,2.2,3.7,4.3,7.6,8.9,10.7,13.6,14.5,17.2,16.9,18.5,21.0,21.4,22.6,24.6,26.1,28.3,30.9,31.5,33.0,35.6,37.1,40.9,42.6,44.3,46.0,46.7,49.3,49.9,51.2,52.9,54.1,58.9,64.1,74.7,84.9,92.8,99.5,105.9,108.1,101.0,106.1,104.6,109.9,115.2,120.7,126.9,131.3,132.0,132.8,137.7,141.3,144.0,144.0,37.2,138.6,61.4,5.2," $287,750"
03115,Orland Park/Lemont,-6.9,-7.7,-5.9,-5.5,-5.2,-4.2,-4.4,-2.5,-1.9,-1.6,-0.3,-0.5,0.0,3.9,6.2,8.2,10.5,13.7,16.1,18.4,20.6,23.0,27.3,29.8,31.2,36.9,40.5,42.7,46.3,49.8,55.1,60.6,63.3,67.9,75.2,79.3,81.8,87.7,89.2,92.9,94.0,94.2,94.0,91.7,90.8,85.1,80.8,76.6,73.8,71.0,66.6,64.1,62.9,60.8,57.3,57.0,55.1,51.0,50.9,47.5,45.1,43.4,40.6,39.2,39.5,41.4,45.0,46.9,47.9,49.8,51.4,51.3,52.5,54.0,56.1,57.8,57.3,59.0,60.5,61.1,62.7,63.7,65.3,66.6,67.4,69.5,71.3,72.0,72.5,73.8,73.7,75.2,76.6,77.3,79.2,83.6,89.5,98.6,105.7,111.5,116.6,124.2,131.0,120.8,127.4,123.9,129.0,136.1,143.4,150.5,155.4,159.3,162.9,165.2,165.9,170.8,170.8,39.4,94.5,53.4,4.4," $425,000"
03116,Oak Forest/Tinley Park,-6.9,-5.5,-5.0,-4.9,-4.6,-4.2,-4.1,-3.0,-4.0,-3.2,-2.0,-1.2,0.0,1.6,3.3,4.8,7.1,9.9,11.9,13.4,13.7,16.2,18.0,19.9,22.0,24.6,28.5,31.2,33.3,37.6,41.9,44.9,47.5,50.8,55.8,59.1,62.8,66.1,68.6,71.2,73.0,75.0,73.9,71.1,68.6,61.9,55.0,50.4,45.1,39.5,35.2,34.3,32.3,31.3,29.2,25.8,23.0,16.9,15.5,13.7,11.8,11.1,7.9,7.2,6.8,7.8,10.6,11.7,13.4,14.9,17.3,18.4,18.5,19.8,21.5,23.2,25.3,27.2,28.2,30.4,30.4,31.8,33.4,34.0,36.7,39.5,40.5,42.7,44.0,46.8,48.9,49.8,49.9,50.2,53.2,57.2,63.1,72.5,82.3,89.8,97.2,106.9,114.3,111.6,115.6,113.2,117.4,121.2,126.0,133.2,139.2,142.1,146.3,146.4,146.2,149.3,149.3,42.4,133.5,66.3,3.0," $285,000"
03117,Calumet City/Harvey,-8.3,-6.8,-6.6,-6.4,-6.3,-5.9,-5.0,-4.2,-3.5,-3.1,-2.2,-1.2,0.0,2.0,3.8,5.7,5.9,7.2,8.7,9.1,10.6,12.2,13.9,15.6,17.2,19.1,20.6,22.8,24.8,27.9,31.1,34.6,38.1,41.2,45.0,47.5,50.1,53.9,57.6,59.7,61.2,61.8,59.2,54.7,49.8,42.2,31.6,23.2,13.9,2.8,-4.2,-7.2,-10.4,-11.0,-11.8,-13.0,-14.2,-17.4,-20.3,-23.3,-26.5,-29.5,-32.1,-35.1,-33.4,-31.8,-30.5,-28.8,-26.8,-24.4,-24.1,-23.5,-24.3,-25.1,-21.8,-20.0,-19.5,-18.8,-18.1,-14.7,-14.1,-11.3,-9.4,-8.5,-4.4,-0.4,2.1,4.2,5.7,6.5,8.4,10.8,12.8,14.9,18.8,26.3,34.8,43.5,56.1,63.3,70.9,79.2,81.1,83.3,82.9,81.6,84.6,86.4,93.7,99.9,104.6,109.4,109.1,109.4,108.8,106.8,106.8,27.9,218.8,83.3,-1.2," $165,000"
03118,Chicago Heights/Park Forest,-9.7,-5.9,-6.1,-5.9,-5.1,-5.6,-3.4,-2.6,-1.7,-1.1,-0.8,-0.8,0.0,1.6,3.2,5.1,5.1,7.5,8.8,9.5,11.2,11.5,13.7,15.5,17.3,19.5,21.8,23.2,24.9,28.6,32.2,35.2,37.7,40.3,43.3,45.8,48.7,52.6,54.6,57.3,58.7,60.3,61.3,58.0,55.8,48.5,40.3,33.6,24.0,17.1,9.1,6.0,3.3,2.4,1.7,0.2,-2.2,-6.9,-10.5,-12.9,-15.4,-17.5,-17.6,-17.6,-16.7,-14.2,-14.3,-13.5,-12.4,-12.3,-11.1,-11.1,-12.3,-11.5,-10.8,-9.2,-7.8,-6.7,-5.9,-3.9,-2.9,-0.9,1.3,2.6,4.9,7.6,10.1,11.2,14.1,14.0,16.9,18.4,20.1,22.7,26.1,34.7,40.0,50.6,59.9,68.2,77.1,87.6,94.9,93.8,97.4,95.7,96.8,102.6,107.8,113.9,116.5,117.3,117.1,119.7,121.1,125.0,125.0,39.5,173.3,87.4,3.6," $210,000"
03151,Chicago--Albany Park/North Park,-15.7,-16.3,-15.3,-15.1,-14.9,-13.9,-12.5,-10.5,-10.2,-7.0,-4.2,-2.4,0.0,3.9,7.4,11.0,13.3,17.1,19.4,21.8,23.7,27.0,31.2,34.1,35.8,38.9,41.1,44.3,47.0,51.4,56.7,61.1,65.3,71.7,77.6,81.7,85.1,87.2,90.6,91.5,91.0,90.9,87.5,84.7,82.6,76.6,71.1,67.2,62.0,55.6,48.4,44.7,44.9,44.7,42.5,40.7,38.5,33.0,30.8,27.7,25.0,25.7,25.4,25.6,27.5,30.8,37.8,41.6,44.1,46.8,50.1,51.2,53.7,57.3,57.3,57.9,58.2,59.2,64.4,66.1,67.2,68.0,68.1,68.6,69.7,70.2,71.9,73.2,73.6,73.7,72.8,74.0,72.9,73.9,77.3,79.9,82.6,88.7,92.9,96.6,103.4,108.4,113.8,108.7,117.7,119.7,120.5,127.1,126.6,126.4,127.9,128.5,132.3,137.3,139.1,144.7,144.7,27.8,95.8,41.5,7.1," $489,500"
03152,Chicago--Lincoln Square/North Center,-27.2,-29.5,-26.5,-25.5,-22.7,-18.8,-15.5,-15.4,-14.0,-9.7,-6.8,-4.1,0.0,4.8,9.3,13.9,15.4,20.0,22.7,22.9,24.1,26.2,32.3,36.2,40.2,43.9,46.9,48.5,51.3,55.1,61.9,67.9,69.5,76.4,79.7,82.6,87.9,91.9,95.4,99.6,100.7,102.2,105.1,103.2,101.8,98.7,91.6,87.5,82.7,78.7,73.2,72.4,72.1,67.7,67.2,64.6,62.9,63.6,64.0,63.0,62.2,58.0,57.3,60.2,59.9,68.8,78.0,80.2,84.2,89.1,95.5,97.2,99.7,104.8,106.3,110.1,110.8,112.0,116.3,117.9,116.6,117.2,116.0,113.8,115.8,115.5,113.0,114.5,113.4,113.6,117.8,120.6,120.7,119.1,117.2,116.9,126.5,135.7,141.0,144.1,146.6,154.7,163.8,175.3,175.7,172.9,170.5,168.7,166.6,174.9,179.8,185.6,192.6,193.7,192.2,192.0,192.0,42.4,85.6,32.3,2.2," $772,500"
