,"p3401","p3407","p3408","p3409","p3410","p3411","p3412","p3413","p3414","p3415","p3416","p3417","p3418","p3419","p3420","p3421","p3422","p3501","p3502","p3503","p3504","p3520","p3521","p3522","p3523","p3524","p3526","p3527","p3528","p3529","p3530","p3531","p3532"
"YEARQ","Palatine/Barrington","Melrose Park/Maywood","Oak Park/Cicero","LaGrange/Burbank","Orland Park/Lemont","Oak Lawn/Blue Island","Oak Forest/Country Club Hills","Calumet City/Harvey","Chicago Heights/Park Forest","Arlington Heights/Wheeling","Winnetka/Northbrook","Hoffman Estates/Streamwood","Schaumburg","Mount Prospect/Elk Grove Village","Park Ridge/Des Plaines","Evanston/Skokie","Elmwood Park/Franklin Park","Chicago--Uptown/Rogers Park","Chicago--Lake View/Lincoln Park","Chicago--Lincoln Square/North Center","Chicago--Irving Park/Albany Park","Chicago--Portage Park/Jefferson Park","Chicago--Austin/Belmont Cragin","Chicago--Logan Square/Avondale","Chicago--Humboldt Park/Garfield Park","Chicago--West Town/Near West Side","Chicago--Bridgeport/Brighton Park","Chicago--Gage Park/West Lawn","Chicago--Englewood/Greater Grand Crossing","Chicago--Bronzeville/Hyde Park","Chicago--Beverly/Morgan Park","Chicago--Auburn Gresham/Chatham","Chicago--South Chicago/West Pullman"
"1997Q1",88.43,90.56,82.87,84.71,92.37,92.81,93.39,91.77,90.4,85.76,84.18,90.72,88.24,89.97,85.55,82.82,85.76,67.77,73.28,72.79,78.29,78.95,77.48,70.63,82.11,70.6,79.71,88.13,85.79,61.53,81.29,80.23,84.17
"1997Q2",88.12,90.06,85.88,87.82,91.98,92.89,94.69,93.22,94.19,89.42,84.8,91.08,88.78,90.38,87.48,85.49,89.64,68.42,72.29,70.52,76.32,83.53,82.37,72.22,86.83,70.16,82.36,89.82,86.01,72.64,85.61,84.38,90.47
"1997Q3",88.66,90.28,86.85,89.63,93.76,93.68,95.48,93.36,93.94,90.16,86.29,90.9,88.97,90.35,87.62,86.06,90.42,72.33,74.31,73.45,78.3,84.38,85.07,73.77,92.93,69.62,86.18,90.24,86.03,77.05,87.86,86.59,90.64
"1997Q4",88.37,91.28,86.15,90.76,94.15,94.1,95.45,93.54,94.2,90.74,86.82,91.07,88.7,90.71,87.54,86.04,90.51,73.29,75.05,74.48,78.87,84.49,85.02,72.97,93.58,68.48,88.47,90.15,87.38,78.25,89.32,87.64,89.89
"1998Q1",88.82,90.72,86.9,91.33,94.43,94.4,95.95,93.72,94.92,91.72,87.91,91.25,88.9,91.11,88.32,86.56,90.9,74.99,76.98,77.28,79.58,85.59,86.89,74.26,95.98,69.14,91.36,90.62,89.5,85.53,91.15,89.52,90.65
"1998Q2",89.63,91.68,86.73,91.9,95.45,95.03,96.32,94.09,94.39,91.38,91.13,92.02,89.57,91.92,89.44,88.19,91.38,77.64,82.61,81.17,81.83,86.51,87.55,78.07,98.43,74.48,93.84,91.23,90.31,84.43,92.07,90.75,89.65
"1998Q3",91.33,92.76,87.4,93.64,95.47,95.92,96.18,95,96.65,92.78,93.41,92.82,90.86,93.07,91.67,89.68,91.81,80.37,84.67,84.44,83.5,87.95,87.64,81.11,97.53,79.63,93.66,92.38,93.25,87.62,93.04,90.83,92.47
"1998Q4",93.24,92.51,88.83,95.15,97.08,97.16,97.1,95.59,97.43,92.45,95.47,93.87,91.47,93.34,93.18,91.63,93.14,82.24,88.05,84.53,86.27,89.83,88.87,86.96,97.49,87.37,92.25,93.89,94.85,92.5,94.12,90.61,94.92
"1999Q1",93.75,93.99,90.2,95.96,97.68,98,95.64,96.32,98.29,92.9,96.2,94.88,92.63,93.55,94.06,92.71,94.13,82.74,89.32,85.93,87.04,91.37,89.9,89.71,100.41,91.66,94.1,94.26,93.97,91.31,94.83,91.48,97.07
"1999Q2",96.59,95.93,93.5,98.52,97.9,100.02,96.76,96.71,98.89,95.66,97.41,96.1,94.91,95.51,95.8,94.76,95.63,88.28,89.98,90.29,91.88,93.69,92.55,93.91,98.62,91.02,95.38,95.82,96.72,94.19,95.88,94.79,99.31
"1999Q3",97.79,96.87,96.02,98.33,99.09,100.62,98.14,97.61,99.23,96.92,98.29,97.5,97.01,96.9,97.45,97.93,97.15,91.2,95.27,93.22,95.54,95.95,94.73,95.3,98.96,93.98,97.22,97.26,96.15,96.07,97.16,96.5,97.71
