"PumaID","Name","1997Q1","1997Q2","1997Q3","1997Q4","1998Q1","1998Q2","1998Q3","1998Q4","1999Q1","1999Q2","1999Q3","1999Q4","2000Q1","2000Q2","2000Q3","2000Q4","2001Q1","2001Q2","2001Q3","2001Q4","2002Q1","2002Q2","2002Q3","2002Q4","2003Q1","2003Q2","2003Q3","2003Q4","2004Q1","2004Q2","2004Q3","2004Q4","2005Q1","2005Q2","2005Q3","2005Q4","2006Q1","2006Q2","2006Q3","2006Q4","2007Q1","2007Q2","2007Q3","2007Q4","2008Q1","2008Q2","2008Q3","2008Q4","2009Q1","2009Q2","2009Q3","2009Q4","2010Q1","2010Q2","2010Q3","2010Q4","2011Q1","2011Q2","2011Q3","2011Q4","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","Change Peak to Current","Change Peak to Bottom","Change Since 2000","Change Bottom to Current"
"03416","Winnetka/Northbrook",-15.9,-15.3,-13.8,-13.3,-12.3,-9.1,-6.9,-4.8,-4.1,-2.8,-1.9,-1.2,0,2.1,6.1,8,9.5,13.1,16.2,17.5,18.5,21.6,22.6,24.7,26.8,28.5,31.8,32.2,34.2,37.3,39.7,41.9,44.5,49.7,58.2,63.6,67.1,71.8,74.5,77.1,77.5,79.2,79.1,78.7,78.8,74.7,70.5,67.9,65,57.5,52.7,48.5,46.5,46.6,44.2,43,43.5,42.5,41.8,39.4,37.1,36.1,36.8,38.8,39.8,44,47.1,49.1,51.1,54.3,58.7,60.5,-10.4,-24,60.5,17.9
"03417","Hoffman Estates/Streamwood",-9.1,-8.7,-9,-8.8,-8.6,-7.8,-7,-6,-4.9,-3.8,-2.5,-0.7,0,2.6,5.6,7.3,8.8,12.7,16.6,19,21.4,24.9,27.3,29.5,31.2,35,38.5,40.8,43.4,47.2,51.3,54.5,56.1,59.2,61.9,64.6,67,69.7,72.5,74.1,74.4,74.7,73.6,72,69,64.4,59.3,54.5,51.1,44.7,37.5,35.4,32.5,31.1,28.5,24.2,19.2,13.1,11.1,8.1,7.4,4.9,3.2,2.8,3.1,5.7,9.9,13.1,15.7,19.6,21.5,22.8,-29.7,-41.1,22.8,19.4
"03418","Schaumburg",-11.7,-11.2,-11,-11.3,-11.1,-10.4,-9.1,-8.5,-7.4,-5.1,-3,-1.1,0,3,5.6,8,10.2,14.8,19.6,21.8,23.6,26.4,29.3,32,34.3,37.8,41.2,42.9,44.7,47.9,51.3,54.6,57,62.1,67.7,71,73.1,77.5,79.5,81.1,83.1,82.7,82.4,81.6,78.7,77.1,74.2,71.7,68.2,61.3,53.5,52,51.6,49.6,46.8,42.8,41,36.8,36.3,33.1,31.4,30.3,28.1,28.4,28.4,29.5,34.1,36.7,39.5,43.4,45.5,48.3,-19,-30.1,48.3,15.8
"03419","Mount Prospect/Elk Grove Village",-10.1,-9.7,-9.7,-9.3,-8.9,-8.1,-6.9,-6.5,-6.4,-4.4,-3,-1.7,0,3.4,7.9,10.2,12.1,17,20.6,22.6,24.2,27.1,30.7,33.1,35.1,38.1,39.9,41.4,43.3,46.7,50.6,52.7,55.5,61.7,66.5,72,74.5,78.5,81.9,83.5,83,81.7,79.9,77.9,75.1,70.8,66,62.1,59.9,55.2,50.8,45.9,44.1,41.8,39.1,38.2,35.8,31,28.9,25.7,24.5,23.5,23.2,22.2,23.5,26.6,30.3,33.4,35.7,39.3,40.7,42.5,-22.3,-33.4,42.5,16.7
"03420","Park Ridge/Des Plaines",-14.5,-12.5,-12.4,-12.5,-11.8,-10.7,-8.5,-6.9,-6.1,-4.3,-2.6,-0.9,0,3.6,7.2,10.1,11.9,15.3,19,20.8,22.3,24.9,28.6,31.4,33.7,37.6,40.6,42.6,44.9,47.7,51.5,54.4,58.4,65.2,73.6,79.4,82.7,86.4,88.3,89.1,89.6,89.4,86.6,82.5,78.5,70.5,64.9,60.4,56,49.8,43.5,40.3,39.5,37.4,34.9,31.6,28,24.6,22.9,20.7,18.4,16.5,16.4,17.3,18.4,22.3,27,30,33.3,36.8,39.7,40.9,-25.7,-38.6,40.9,21.1
"03421","Evanston/Skokie",-17,-14.5,-13.9,-14,-13.5,-11.8,-10.4,-8.5,-7.5,-5.4,-2.2,-1.6,0,4,7.4,10.1,11.8,15,18.7,20.7,23.1,25.9,30.5,33.8,35.2,37.5,38.9,40.5,42.1,46.7,52.5,55,57.9,62.4,68.9,73.6,76.2,81.8,84.7,87,89.4,87.3,85,81.5,78.6,71.3,65.4,60.6,56.5,50.2,43,38.6,37.8,34.8,33.2,31.7,29,25.6,24.2,22,20.9,20,19.3,20.2,20.8,24.7,28.2,29.3,32.5,34.6,37.8,39.9,-26.2,-37,39.9,17.3
"03422","Elmwood Park/Franklin Park",-14.3,-10.5,-9.7,-9.6,-9.2,-8.7,-8.4,-6.9,-5.9,-4.4,-2.9,-0.9,0,3.7,8,11.2,13.5,17.5,20.8,22.7,25.3,28.5,32.8,36.9,38.3,42,46.6,49.5,53.4,58.5,62.7,67.2,70.8,75.5,82,85.6,87.2,91.4,93,95,97.2,95.5,94.3,91.7,86.3,79,66.9,58.2,52.8,41.9,34.2,29.2,25.5,23.1,20.2,15.1,12.9,9.3,6.2,4.6,1.4,-0.3,-1.8,-0.8,0.5,2.4,7.3,10.4,13.6,17.5,20.8,22.3,-38,-50.2,22.3,24.6
"03501","Chicago--Uptown/Rogers Park",-32.9,-32,-28.3,-27,-25.2,-22.3,-19.3,-17.7,-17.1,-11.6,-8.7,-4.3,0,3.2,7,8.6,10.7,13.3,16.2,19.8,23.9,33.3,36.5,39.2,42,44.4,48.5,49.7,50.9,53,58.2,61.7,63.9,67.9,76.8,80.9,83.3,90.2,89.8,91.8,95.7,94.4,96.3,92.4,89.5,87.4,75.6,78.7,74.4,68.7,64.5,63.2,61.1,59.4,60.3,55.6,52.7,47.6,40.5,38.9,37.9,38,42.2,41.6,45.8,49.6,57,57.1,61.8,61.6,62,69,-13.9,-29.8,69,22.6
"03502","Chicago--Lake View/Lincoln Park",-26.8,-27.8,-25.8,-25.1,-23.1,-17.5,-15.4,-12,-10.7,-10,-4.8,-2.7,0,3.1,4.2,8.1,10.1,14.1,16.8,16.7,16.2,18,20.3,21.7,24.4,27.2,29.7,32.2,34.5,39.2,44.4,45.4,44.8,47.7,50.3,54.2,59,59.5,59.8,58.9,58.7,59.5,64.6,65.5,69.6,73.6,68.9,64.9,65,56.8,58.2,53.4,53.2,56.3,55.5,58.8,60,58.1,57.1,54.2,53.8,50.9,52.8,53.5,52.8,59,61.9,65.1,65.7,69,72.3,73.4,-0.1,-16.6,73.4,14.9
"03503","Chicago--Lincoln Square/North Center",-27.7,-29.6,-26.9,-26.1,-23.4,-19.7,-16.5,-15.9,-14.5,-10,-6.9,-4.2,0,5,9.8,14.4,15.9,20.1,22.7,23,24.1,26.6,32.8,36.2,40.1,44.1,47.6,49.9,52.8,56.7,63.2,68.8,70.7,78.5,82.7,85.9,91.1,95,98,102.6,104.2,106.1,109.9,108,106.9,103.5,96.8,92.5,87.2,83.1,76.9,76.1,75.8,70.7,70.7,68.1,66.2,68.1,68.1,67.6,67.2,63,62.3,65.1,64.4,73.7,82.3,84.5,88.5,93.4,100.3,102.7,-3.4,-22.7,102.7,24.9
