,p3401,p3407,p3408,p3409,p3410,p3411,p3412,p3413,p3414,p3415,p3416,p3417,p3418,p3419,p3420,p3421,p3422,p3501,p3502,p3503,p3504,p3520,p3521,p3522,p3523,p3524,p3526,p3527,p3528,p3529,p3530,p3531,p3532
,Palatine/Barrington,Melrose Park/Maywood,Oak Park/Cicero,LaGrange/Burbank,Orland Park/Lemont,Oak Lawn/Blue Island,Oak Forest/Country Club Hills,Calumet City/Harvey,Chicago Heights/Park Forest,Arlington Heights/Wheeling,Winnetka/Northbrook,Hoffman Estates/Streamwood,Schaumburg,Mount Prospect/Elk Grove Village,Park Ridge/Des Plaines,Evanston/Skokie,Elmwood Park/Franklin Park,Chicago--Uptown/Rogers Park,Chicago--Lake View/Lincoln Park,Chicago--Lincoln Square/North Center,Chicago--Irving Park/Albany Park,Chicago--Portage Park/Jefferson Park,Chicago--Austin/Belmont Cragin,Chicago--Logan Square/Avondale,Chicago--Humboldt Park/Garfield Park,Chicago--West Town/Near West Side,Chicago--Bridgeport/Brighton Park,Chicago--Gage Park/West Lawn,Chicago--Englewood/Greater Grand Crossing,Chicago--Bronzeville/Hyde Park,Chicago--Beverly/Morgan Park,Chicago--Auburn Gresham/Chatham,Chicago--South Chicago/West Pullman
1997Q1,88.48,90.56,82.81,84.76,92.37,92.78,93.34,91.39,90.27,85.79,84.13,90.83,88.25,89.90,85.50,82.96,85.77,67.25,73.26,72.46,78.01,78.94,77.59,70.53,81.05,70.66,79.46,87.99,85.45,61.58,81.07,80.12,83.68
1997Q2,88.13,89.95,85.71,87.89,91.99,92.82,94.77,92.91,94.05,89.37,84.75,91.20,88.74,90.37,87.47,85.51,89.59,68.03,72.19,70.38,76.18,83.31,82.32,72.10,85.82,70.06,82.05,89.57,85.98,72.00,85.61,84.31,90.24
1997Q3,88.68,90.13,86.69,89.69,93.78,93.64,95.55,93.15,93.93,90.12,86.24,91.00,88.93,90.36,87.58,86.06,90.37,71.81,74.18,73.23,78.10,84.18,84.96,73.56,91.91,69.60,85.64,90.02,85.80,76.51,87.82,86.57,90.51
1997Q4,88.40,91.16,86.05,90.85,94.16,94.05,95.51,93.38,94.19,90.70,86.74,91.17,88.69,90.71,87.48,86.02,90.44,73.04,74.97,74.11,78.63,84.26,84.91,72.62,92.69,68.46,87.83,89.95,87.20,77.52,89.23,87.54,89.71
1998Q1,88.86,90.59,86.75,91.44,94.47,94.38,95.99,93.60,94.97,91.63,87.77,91.35,88.88,91.15,88.27,86.52,90.81,74.87,76.90,76.84,79.47,85.33,86.70,73.87,95.44,69.06,90.75,90.40,89.24,84.60,91.14,89.55,90.61
1998Q2,89.71,91.56,86.54,92.08,95.49,94.96,96.27,94.05,94.46,91.31,90.96,92.16,89.57,91.93,89.34,88.16,91.31,77.76,82.58,80.58,81.83,86.30,87.44,77.68,97.84,74.11,93.03,91.07,90.10,83.72,91.99,90.95,89.54
1998Q3,91.37,92.71,87.18,93.85,95.50,95.85,96.08,94.98,96.66,92.71,93.21,92.98,90.85,93.12,91.57,89.61,91.70,80.64,84.69,83.79,83.58,87.75,87.48,80.76,96.67,78.99,93.24,92.23,93.03,86.80,92.99,91.04,92.54
1998Q4,93.25,92.44,88.62,95.35,97.12,97.10,97.03,95.59,97.44,92.39,95.28,94.02,91.46,93.43,93.09,91.54,93.14,82.30,88.11,84.19,86.42,89.66,88.68,86.69,96.87,86.47,92.14,93.74,94.47,91.98,94.14,91.16,95.20
1999Q1,93.75,93.92,90.05,96.15,97.68,97.92,95.62,96.35,98.27,92.83,96.00,95.03,92.63,93.62,93.95,92.59,94.13,82.88,89.31,85.64,87.20,91.18,89.80,89.40,99.54,90.74,94.00,94.14,93.78,90.71,94.74,92.04,97.26
