,"p3401","p3407","p3408","p3409","p3410","p3411","p3412","p3413","p3414","p3415","p3416","p3417","p3418","p3419","p3420","p3421","p3422","p3501","p3502","p3503","p3504","p3520","p3521","p3522","p3523","p3524","p3526","p3527","p3528","p3529","p3530","p3531","p3532"
"YEARQ","Palatine/Barrington","Melrose Park/Maywood","Oak Park/Cicero","LaGrange/Burbank","Orland Park/Lemont","Oak Lawn/Blue Island","Oak Forest/Country Club Hills","Calumet City/Harvey","Chicago Heights/Park Forest","Arlington Heights/Wheeling","Winnetka/Northbrook","Hoffman Estates/Streamwood","Schaumburg","Mount Prospect/Elk Grove Village","Park Ridge/Des Plaines","Evanston/Skokie","Elmwood Park/Franklin Park","Chicago--Uptown/Rogers Park","Chicago--Lake View/Lincoln Park","Chicago--Lincoln Square/North Center","Chicago--Irving Park/Albany Park","Chicago--Portage Park/Jefferson Park","Chicago--Austin/Belmont Cragin","Chicago--Logan Square/Avondale","Chicago--Humboldt Park/Garfield Park","Chicago--West Town/Near West Side","Chicago--Bridgeport/Brighton Park","Chicago--Gage Park/West Lawn","Chicago--Englewood/Greater Grand Crossing","Chicago--Bronzeville/Hyde Park","Chicago--Beverly/Morgan Park","Chicago--Auburn Gresham/Chatham","Chicago--South Chicago/West Pullman"
"1997Q1",88.47,90.58,82.85,84.73,92.38,92.79,93.5,91.79,90.42,85.75,84.24,90.75,88.25,89.95,85.54,82.88,85.81,67.43,73.31,72.67,78.21,78.94,77.59,70.52,82.09,70.55,79.63,88.11,85.74,61.36,81.26,80.18,84.14
"1997Q2",88.15,90.01,85.82,87.81,92.01,92.86,94.75,93.2,94.19,89.39,84.82,91.11,88.76,90.36,87.48,85.52,89.67,68.16,72.28,70.47,76.3,83.47,82.38,72.09,86.7,70.12,82.26,89.79,85.98,72.36,85.58,84.32,90.41
"1997Q3",88.68,90.21,86.79,89.63,93.79,93.66,95.52,93.35,93.96,90.13,86.31,90.93,88.96,90.34,87.61,86.07,90.46,72.05,74.28,73.39,78.26,84.32,85.07,73.65,92.79,69.55,86.09,90.19,85.99,76.78,87.85,86.57,90.61
"1997Q4",88.4,91.24,86.11,90.77,94.17,94.08,95.5,93.52,94.23,90.73,86.82,91.1,88.7,90.69,87.52,86.05,90.54,73.12,75.03,74.37,78.82,84.43,84.99,72.83,93.43,68.43,88.3,90.1,87.36,77.89,89.3,87.62,89.86
"1998Q1",88.85,90.67,86.84,91.33,94.47,94.38,96,93.7,94.94,91.7,87.9,91.28,88.89,91.11,88.31,86.57,90.91,74.87,76.94,77.16,79.57,85.53,86.82,74.14,95.83,69.08,91.17,90.57,89.45,85.17,91.13,89.55,90.64
"1998Q2",89.67,91.63,86.65,91.91,95.47,95.01,96.35,94.09,94.41,91.37,91.1,92.07,89.56,91.91,89.42,88.21,91.39,77.62,82.58,81.01,81.84,86.46,87.49,78,98.23,74.26,93.6,91.19,90.3,84.07,92.04,90.86,89.64
"1998Q3",91.36,92.75,87.29,93.64,95.49,95.9,96.2,95,96.66,92.77,93.36,92.87,90.84,93.07,91.65,89.68,91.82,80.42,84.65,84.27,83.51,87.91,87.54,81.04,97.28,79.36,93.45,92.36,93.24,87.33,93,90.98,92.47
"1998Q4",93.25,92.48,88.72,95.15,97.1,97.14,97.12,95.59,97.43,92.43,95.43,93.92,91.45,93.34,93.16,91.62,93.19,82.29,88.02,84.45,86.3,89.8,88.76,86.91,97.24,87,92.09,93.86,94.78,92.23,94.08,90.82,95.01
"1999Q1",93.76,93.98,90.11,95.96,97.69,97.99,95.65,96.33,98.28,92.87,96.15,94.93,92.61,93.55,94.03,92.68,94.18,82.82,89.3,85.88,87.07,91.32,89.81,89.64,100.24,91.26,94,94.23,93.97,91.1,94.79,91.64,97.13
