,p3401,p3407,p3408,p3409,p3410,p3411,p3412,p3413,p3414,p3415,p3416,p3417,p3418,p3419,p3420,p3421,p3422,p3501,p3502,p3503,p3504,p3520,p3521,p3522,p3523,p3524,p3526,p3527,p3528,p3529,p3530,p3531,p3532
,Palatine/Barrington,Melrose Park/Maywood,Oak Park/Cicero,LaGrange/Burbank,Orland Park/Lemont,Oak Lawn/Blue Island,Oak Forest/Country Club Hills,Calumet City/Harvey,Chicago Heights/Park Forest,Arlington Heights/Wheeling,Winnetka/Northbrook,Hoffman Estates/Streamwood,Schaumburg,Mount Prospect/Elk Grove Village,Park Ridge/Des Plaines,Evanston/Skokie,Elmwood Park/Franklin Park,Chicago--Uptown/Rogers Park,Chicago--Lake View/Lincoln Park,Chicago--Lincoln Square/North Center,Chicago--Irving Park/Albany Park,Chicago--Portage Park/Jefferson Park,Chicago--Austin/Belmont Cragin,Chicago--Logan Square/Avondale,Chicago--Humboldt Park/Garfield Park,Chicago--West Town/Near West Side,Chicago--Bridgeport/Brighton Park,Chicago--Gage Park/West Lawn,Chicago--Englewood/Greater Grand Crossing,Chicago--Bronzeville/Hyde Park,Chicago--Beverly/Morgan Park,Chicago--Auburn Gresham/Chatham,Chicago--South Chicago/West Pullman
1997Q1,88.49,90.59,82.80,84.78,92.40,92.75,93.27,91.29,90.23,85.81,84.12,90.85,88.25,89.87,85.50,82.98,85.77,67.13,73.25,72.40,77.95,78.94,77.57,70.63,80.73,70.73,79.41,87.93,85.40,61.39,81.05,80.10,83.64
1997Q2,88.13,89.99,85.69,87.96,92.01,92.79,94.74,92.79,94.01,89.37,84.74,91.23,88.74,90.36,87.47,85.52,89.58,67.97,72.20,70.39,76.16,83.28,82.32,72.20,85.53,70.02,81.99,89.52,85.98,71.75,85.63,84.29,90.26
1997Q3,88.69,90.15,86.67,89.76,93.79,93.62,95.52,93.07,93.92,90.11,86.24,91.01,88.93,90.35,87.58,86.06,90.36,71.73,74.20,73.21,78.06,84.15,84.96,73.59,91.58,69.58,85.57,89.98,85.77,76.28,87.82,86.60,90.53
1997Q4,88.40,91.18,86.03,90.92,94.17,94.04,95.48,93.30,94.17,90.69,86.73,91.19,88.69,90.70,87.48,86.03,90.43,72.99,74.99,74.05,78.58,84.22,84.91,72.63,92.45,68.41,87.72,89.91,87.16,77.33,89.22,87.55,89.72
1998Q1,88.87,90.60,86.73,91.53,94.47,94.37,95.96,93.53,94.97,91.61,87.75,91.37,88.88,91.15,88.27,86.52,90.79,74.88,76.91,76.78,79.44,85.29,86.70,73.87,95.40,69.04,90.65,90.35,89.17,84.41,91.14,89.56,90.65
1998Q2,89.73,91.57,86.52,92.18,95.50,94.97,96.23,94.01,94.47,91.28,90.94,92.17,89.57,91.93,89.33,88.17,91.30,77.79,82.60,80.46,81.83,86.26,87.46,77.64,97.74,74.04,92.91,91.04,90.04,83.60,91.97,91.04,89.54
1998Q3,91.39,92.72,87.17,93.96,95.50,95.87,96.04,94.93,96.66,92.68,93.17,93.00,90.86,93.12,91.56,89.62,91.68,80.77,84.67,83.66,83.60,87.72,87.51,80.73,96.60,78.81,93.22,92.19,92.95,86.74,93.00,91.11,92.55
1998Q4,93.25,92.45,88.61,95.47,97.11,97.09,97.00,95.55,97.44,92.36,95.25,94.03,91.46,93.44,93.08,91.53,93.12,82.38,88.12,84.13,86.46,89.64,88.70,86.64,96.75,86.25,92.18,93.71,94.39,91.89,94.17,91.33,95.24
1999Q1,93.75,93.91,90.05,96.26,97.67,97.92,95.60,96.31,98.27,92.79,95.97,95.05,92.63,93.63,93.93,92.59,94.12,82.98,89.33,85.57,87.24,91.14,89.83,89.35,99.30,90.44,94.00,94.13,93.74,90.61,94.74,92.20,97.31
1999Q2,96.55,95.83,93.56,98.71,97.91,99.96,96.80,96.69,98.86,95.59,97.22,96.20,94.92,95.59,95.70,94.64,95.62,88.44,89.97,90.04,91.79,93.41,92.42,93.52,98.18,90.03,95.31,95.73,96.57,93.98,95.82,95.10,99.85
1999Q3,97.78,96.81,96.05,98.44,99.08,100.56,98.18,97.62,99.22,96.83,98.18,97.51,97.03,96.97,97.38,97.86,97.17,91.37,95.20,93.08,95.41,95.78,94.67,95.06,98.87,93.49,97.15,97.20,96.21,95.90,97.11,96.75,97.96
1999Q4,99.16,98.90,98.78,98.67,99.37,100.09,98.63,98.80,99.21,99.26,98.84,99.27,98.90,98.31,99.12,98.46,99.06,95.70,97.26,95.84,97.94,98.38,97.90,97.80,100.64,96.41,99.35,98.67,97.42,96.33,98.52,98.86,100.06
2000Q1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2000Q2,101.89,102.33,103.63,102.30,103.15,101.23,101.57,101.98,101.58,103.38,102.08,102.63,103.03,103.43,103.62,103.97,103.68,103.17,103.11,104.97,103.03,104.22,102.32,105.11,104.19,110.18,102.07,101.72,102.34,101.09,102.07,101.43,101.06
